group_code,marine_site_name,site_code,site_lat,site_long,ltm_lat,ltm_long,marine_sort_order,marine_common_year,season_name,marine_season_code,marine_common_season,survey_date,target_assemblage,species_code,plot_code,total,plot_area_m2,method_code,state_province,georegion,bioregion,mpa_designation,mpa_region,mpa_lt_region,mpa_name,island,last_updated
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2010,Summer,SU10,118,7/10/10,postelsia,POSPAL,1,830,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2011,Summer,SU11,122,7/13/11,postelsia,POSPAL,1,670,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2012,Summer,SU12,126,7/2/12,postelsia,POSPAL,1,554,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2013,Summer,SU13,130,7/21/13,postelsia,POSPAL,1,309,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2014,Summer,SU14,134,7/11/14,postelsia,POSPAL,1,67,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2015,Summer,SU15,138,7/15/15,postelsia,POSPAL,1,24,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2016,Summer,SU16,142,7/19/16,postelsia,POSPAL,1,361,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2017,Summer,SU17,146,7/10/17,postelsia,POSPAL,1,161,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2018,Summer,SU18,150,7/14/18,postelsia,POSPAL,1,84,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2019,Summer,SU19,154,7/4/19,postelsia,POSPAL,1,353,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2021,Summer,SU21,162,7/13/21,postelsia,POSPAL,1,260,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2022,Summer,SU22,166,6/29/22,postelsia,POSPAL,1,221,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2023,Summer,SU23,170,7/5/23,postelsia,POSPAL,1,186,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,Fogarty Creek,FOG,44.83863831,-124.05875,44.83863831,-124.05875,4300,2024,Summer,SU24,174,7/24/24,postelsia,POSPAL,1,77,18,IP,Oregon,OR,WA Olympic Coast to San Francisco,NONE,OR,NONE,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2014,Summer,SU14,134,5/16/14,postelsia,POSPAL,1,139,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2014,Summer,SU14,134,5/16/14,postelsia,POSPAL,2,363,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2015,Fall,FA15,139,1/21/16,postelsia,POSPAL,1,0,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2015,Fall,FA15,139,1/21/16,postelsia,POSPAL,2,0,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2016,Summer,SU16,142,5/22/16,postelsia,POSPAL,1,2,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2016,Summer,SU16,142,5/22/16,postelsia,POSPAL,2,431,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2016,Fall,FA16,143,12/11/16,postelsia,POSPAL,1,0,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2017,Summer,SU17,146,5/27/17,postelsia,POSPAL,1,0,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2017,Summer,SU17,146,5/27/17,postelsia,POSPAL,2,797,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2018,Summer,SU18,150,5/28/18,postelsia,POSPAL,1,0,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2018,Summer,SU18,150,5/28/18,postelsia,POSPAL,2,877,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2019,Summer,SU19,154,5/19/19,postelsia,POSPAL,1,0,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2019,Summer,SU19,154,5/19/19,postelsia,POSPAL,2,1345,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2020,Summer,SU20,158,6/9/20,postelsia,POSPAL,1,0,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2020,Summer,SU20,158,6/9/20,postelsia,POSPAL,2,852,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2021,Summer,SU21,162,5/26/21,postelsia,POSPAL,1,0,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2021,Summer,SU21,162,5/26/21,postelsia,POSPAL,2,1397,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2022,Summer,SU22,166,5/17/22,postelsia,POSPAL,1,0,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2022,Summer,SU22,166,5/17/22,postelsia,POSPAL,2,1217,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2023,Summer,SU23,170,5/7/23,postelsia,POSPAL,1,0,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2023,Summer,SU23,170,5/7/23,postelsia,POSPAL,2,437,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2024,Summer,SU24,174,5/25/24,postelsia,POSPAL,1,0,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,False Klamath Cove,FKC,41.59476089,-124.10643,41.59426498,-124.10533,5030,2024,Summer,SU24,174,5/25/24,postelsia,POSPAL,2,574,20,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2004,Summer,SU04,94,6/4/04,postelsia,POSPAL,1,1739,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2004,Summer,SU04,94,6/4/04,postelsia,POSPAL,2,1334,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2004,Summer,SU04,94,6/4/04,postelsia,POSPAL,3,1453,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2005,Summer,SU05,98,6/23/05,postelsia,POSPAL,1,669,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2005,Summer,SU05,98,6/23/05,postelsia,POSPAL,2,588,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2005,Summer,SU05,98,6/23/05,postelsia,POSPAL,3,912,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2006,Summer,SU06,102,6/15/06,postelsia,POSPAL,1,992,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2006,Summer,SU06,102,6/15/06,postelsia,POSPAL,2,1241,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2006,Summer,SU06,102,6/15/06,postelsia,POSPAL,3,593,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2007,Summer,SU07,106,6/18/07,postelsia,POSPAL,1,1562,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2007,Summer,SU07,106,6/18/07,postelsia,POSPAL,2,1450,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2007,Summer,SU07,106,6/18/07,postelsia,POSPAL,3,989,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2008,Summer,SU08,110,6/7/08,postelsia,POSPAL,1,1276,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2008,Summer,SU08,110,6/7/08,postelsia,POSPAL,2,1387,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2008,Summer,SU08,110,6/7/08,postelsia,POSPAL,3,888,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2009,Summer,SU09,114,6/26/09,postelsia,POSPAL,1,907,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2009,Summer,SU09,114,6/26/09,postelsia,POSPAL,2,980,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2009,Summer,SU09,114,6/26/09,postelsia,POSPAL,3,621,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2010,Summer,SU10,118,6/15/10,postelsia,POSPAL,1,322,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2010,Summer,SU10,118,6/15/10,postelsia,POSPAL,2,264,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2010,Summer,SU10,118,6/15/10,postelsia,POSPAL,3,970,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2011,Summer,SU11,122,6/18/11,postelsia,POSPAL,1,1104,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2011,Summer,SU11,122,6/18/11,postelsia,POSPAL,2,735,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2011,Summer,SU11,122,6/18/11,postelsia,POSPAL,3,1188,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2013,Summer,SU13,130,6/25/13,postelsia,POSPAL,1,930,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2013,Summer,SU13,130,6/25/13,postelsia,POSPAL,2,999,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2013,Summer,SU13,130,6/25/13,postelsia,POSPAL,3,699,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2014,Summer,SU14,134,6/17/14,postelsia,POSPAL,1,945,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2014,Summer,SU14,134,6/17/14,postelsia,POSPAL,2,725,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2014,Summer,SU14,134,6/17/14,postelsia,POSPAL,3,1025,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2015,Summer,SU15,138,6/19/15,postelsia,POSPAL,1,96,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2015,Summer,SU15,138,6/19/15,postelsia,POSPAL,2,66,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2015,Summer,SU15,138,6/19/15,postelsia,POSPAL,3,208,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2016,Summer,SU16,142,6/7/16,postelsia,POSPAL,1,122,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2016,Summer,SU16,142,6/7/16,postelsia,POSPAL,2,52,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2016,Summer,SU16,142,6/7/16,postelsia,POSPAL,3,254,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2018,Summer,SU18,150,7/16/18,postelsia,POSPAL,1,30,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2018,Summer,SU18,150,7/16/18,postelsia,POSPAL,2,1,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2018,Summer,SU18,150,7/16/18,postelsia,POSPAL,3,246,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2019,Summer,SU19,154,6/19/19,postelsia,POSPAL,1,0,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2019,Summer,SU19,154,6/19/19,postelsia,POSPAL,2,0,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2019,Summer,SU19,154,6/19/19,postelsia,POSPAL,3,68,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2020,Summer,SU20,158,8/5/20,postelsia,POSPAL,1,0,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2020,Summer,SU20,158,8/5/20,postelsia,POSPAL,2,0,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2020,Summer,SU20,158,8/5/20,postelsia,POSPAL,3,109,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2021,Summer,SU21,162,7/12/21,postelsia,POSPAL,1,0,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2021,Summer,SU21,162,7/12/21,postelsia,POSPAL,2,0,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2021,Summer,SU21,162,7/12/21,postelsia,POSPAL,3,113,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2022,Summer,SU22,166,6/18/22,postelsia,POSPAL,1,0,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2022,Summer,SU22,166,6/18/22,postelsia,POSPAL,2,0,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
UCSC,Shelter Cove,SHT,40.02254105,-124.07366,40.02254105,-124.07366,5060,2022,Summer,SU22,166,6/18/22,postelsia,POSPAL,3,71,10,IP,California,CA North,WA Olympic Coast to San Francisco,NONE,North Coast,North Coast,NONE,Mainland,11/1/24 10:44
