"","doy","t","temp","seas","thresh"
"46",27,2006-01-27,10.67,10.266,11.5446
"47",28,2006-01-28,10.81,10.2612,11.5417
"48",29,2006-01-29,10.96,10.2558,11.5403
"49",30,2006-01-30,11.03,10.2495,11.5406
"50",31,2006-01-31,10.75,10.2427,11.54
"51",32,2006-02-01,10.96,10.2357,11.5394
"52",33,2006-02-02,11.11,10.2286,11.538
"53",34,2006-02-03,11.01,10.2214,11.5351
"54",35,2006-02-04,10.99,10.2134,11.5326
"55",36,2006-02-05,10.83,10.205,11.5315
"56",37,2006-02-06,10.76,10.1955,11.5291
"57",38,2006-02-07,10.75,10.185,11.5216
"58",39,2006-02-08,11,10.1744,11.5126
"59",40,2006-02-09,10.65,10.164,11.5039
"60",41,2006-02-10,10.77,10.1541,11.4952
"61",42,2006-02-11,10.95,10.1446,11.4868
"62",43,2006-02-12,11.39,10.1353,11.4905
"63",44,2006-02-13,11.18,10.1259,11.499
"64",45,2006-02-14,11.02,10.1168,11.5082
"65",46,2006-02-15,10.46,10.1079,11.5194
"66",47,2006-02-16,10.05,10.0993,11.5299
"67",48,2006-02-17,9.77,10.0912,11.5374
"68",49,2006-02-18,9.79,10.0835,11.5448
"69",50,2006-02-19,9.55,10.0757,11.5497
"70",51,2006-02-20,9.38,10.0676,11.5543
"71",52,2006-02-21,9.34,10.0598,11.5583
"72",53,2006-02-22,9.17,10.0521,11.5623
"73",54,2006-02-23,9.31,10.0452,11.5657
"74",55,2006-02-24,9.21,10.0388,11.5683
"75",56,2006-02-25,9.27,10.0329,11.567
"76",57,2006-02-26,9.31,10.0277,11.5638
"77",58,2006-02-27,9.83,10.0231,11.5582
"78",59,2006-02-28,9.95,10.0192,11.5523
"79",61,2006-03-01,9.89,10.0154,11.5421
"80",62,2006-03-02,9.84,10.0158,11.5405
"81",63,2006-03-03,9.85,10.0165,11.5392
"82",64,2006-03-04,9.62,10.0179,11.5393
"83",65,2006-03-05,9.66,10.0197,11.5418
"84",66,2006-03-06,9.64,10.0228,11.5447
"85",67,2006-03-07,9.58,10.027,11.5528
"86",68,2006-03-08,9.79,10.0326,11.562
"87",69,2006-03-09,9.68,10.0396,11.5719
"88",70,2006-03-10,9.39,10.0472,11.5828
"89",71,2006-03-11,9.4,10.0551,11.5903
"90",72,2006-03-12,9.05,10.063,11.5955
"91",73,2006-03-13,9.02,10.0709,11.6003
"92",74,2006-03-14,9.48,10.0794,11.6039
"93",75,2006-03-15,9.81,10.088,11.6062
"94",76,2006-03-16,9.66,10.0962,11.6033
"95",77,2006-03-17,9.84,10.1033,11.5987
"96",78,2006-03-18,9.69,10.1105,11.5935
"97",79,2006-03-19,9.79,10.117,11.5845
"98",80,2006-03-20,9.97,10.1229,11.5717
"99",81,2006-03-21,10.11,10.1287,11.5569
"100",82,2006-03-22,10.11,10.1349,11.5421
"101",83,2006-03-23,10.26,10.141,11.5247
"102",84,2006-03-24,10.42,10.1466,11.5081
"103",85,2006-03-25,10.29,10.1516,11.4959
"104",86,2006-03-26,10.11,10.1555,11.4839
"105",87,2006-03-27,10.14,10.1589,11.4727
"106",88,2006-03-28,10.45,10.1624,11.4623
"107",89,2006-03-29,10.37,10.1657,11.4537
"108",90,2006-03-30,10.49,10.1693,11.4464
"109",91,2006-03-31,10.33,10.1732,11.4423
"110",92,2006-04-01,10.56,10.1769,11.4381
"111",93,2006-04-02,10.51,10.1797,11.4319
"112",94,2006-04-03,10.57,10.1833,11.4283
"113",95,2006-04-04,10.42,10.1874,11.4253
"114",96,2006-04-05,10.32,10.1923,11.4233
"115",97,2006-04-06,9.95,10.1984,11.4223
"116",98,2006-04-07,NA,10.2059,11.4205
"117",99,2006-04-08,10.57,10.2143,11.4174
"118",100,2006-04-09,10.92,10.2229,11.415
"119",101,2006-04-10,11.2,10.2313,11.4125
"120",102,2006-04-11,11.16,10.2397,11.4134
"121",103,2006-04-12,11.25,10.2482,11.4167
"122",104,2006-04-13,11.73,10.2575,11.4224
"123",105,2006-04-14,11.89,10.2663,11.4285
"124",106,2006-04-15,11.11,10.277,11.4352
"125",107,2006-04-16,10.87,10.2881,11.4461
"126",108,2006-04-17,10.88,10.2987,11.4574
"127",109,2006-04-18,11.01,10.3076,11.4655
"128",110,2006-04-19,10.59,10.3153,11.4772
"129",111,2006-04-20,10.88,10.3221,11.4939
"130",112,2006-04-21,11.3,10.3291,11.513
"131",113,2006-04-22,10.6,10.3347,11.5308
"132",114,2006-04-23,10.68,10.3404,11.552
"133",115,2006-04-24,11.75,10.3466,11.5725
"134",116,2006-04-25,11.33,10.354,11.5887
"135",117,2006-04-26,11.21,10.361,11.604
"136",118,2006-04-27,10.68,10.3692,11.619
"137",119,2006-04-28,10.13,10.3798,11.6385
"138",120,2006-04-29,11.09,10.3934,11.6639
"139",121,2006-04-30,10.27,10.4088,11.689
"140",122,2006-05-01,9.42,10.4248,11.7112
"141",123,2006-05-02,8.83,10.4404,11.731
"142",124,2006-05-03,8.15,10.4586,11.7523
"143",125,2006-05-04,9.02,10.4778,11.7785
"144",126,2006-05-05,NA,10.4975,11.7974
"145",127,2006-05-06,NA,10.5179,11.8143
"146",128,2006-05-07,NA,10.5386,11.8302
"147",129,2006-05-08,9.95,10.5591,11.8439
"148",130,2006-05-09,9.36,10.5799,11.8632
"149",131,2006-05-10,8.97,10.6011,11.8835
"150",132,2006-05-11,10.13,10.6251,11.9065
"151",133,2006-05-12,9.02,10.6531,11.9325
"152",134,2006-05-13,8.65,10.6845,11.9599
"153",135,2006-05-14,8.95,10.7169,11.9864
"154",136,2006-05-15,10.14,10.7523,12.0134
"155",137,2006-05-16,10.74,10.7892,12.0426
"156",138,2006-05-17,10.62,10.8297,12.0765
"157",139,2006-05-18,11.12,10.8748,12.1142
"158",140,2006-05-19,11.21,10.9253,12.1608
"159",141,2006-05-20,11.36,10.9792,12.2103
"160",142,2006-05-21,11.53,11.0365,12.2652
"161",143,2006-05-22,10.93,11.0948,12.3214
"162",144,2006-05-23,11.45,11.154,12.3788
"163",145,2006-05-24,11.66,11.2138,12.4361
"164",146,2006-05-25,11.77,11.273,12.4939
"165",147,2006-05-26,11.78,11.3292,12.5503
"166",148,2006-05-27,11.82,11.3833,12.6077
"167",149,2006-05-28,12.53,11.4324,12.665
"168",150,2006-05-29,12.23,11.4756,12.717
"169",151,2006-05-30,12.44,11.5123,12.7621
"170",152,2006-05-31,12.51,11.5458,12.8078
"171",153,2006-06-01,12.6,11.5763,12.8525
"172",154,2006-06-02,NA,11.6052,12.8943
"173",155,2006-06-03,NA,11.6327,12.9426
"174",156,2006-06-04,14.14,11.6593,12.984
"175",157,2006-06-05,14.35,11.6879,13.032
"176",158,2006-06-06,13.82,11.7199,13.0849
"177",159,2006-06-07,13.62,11.7567,13.1426
"178",160,2006-06-08,13.15,11.7988,13.2031
"179",161,2006-06-09,12.65,11.8447,13.2608
"180",162,2006-06-10,12.6,11.8947,13.3198
"181",163,2006-06-11,11.88,11.9459,13.379
"182",164,2006-06-12,12.69,11.9968,13.4355
"183",165,2006-06-13,12.5,12.0482,13.4926
"184",166,2006-06-14,12.09,12.0995,13.5503
"185",167,2006-06-15,11.95,12.151,13.6086
"186",168,2006-06-16,11.67,12.2006,13.6643
"187",169,2006-06-17,11.5,12.2476,13.7159
"188",170,2006-06-18,12.07,12.2903,13.7643
"189",171,2006-06-19,12.52,12.3284,13.8075
"190",172,2006-06-20,10.85,12.3659,13.849
"191",173,2006-06-21,11.34,12.4026,13.8866
"192",174,2006-06-22,10.46,12.4391,13.9248
"193",175,2006-06-23,12.94,12.4766,13.9638
"194",176,2006-06-24,10.59,12.5146,14.0041
"195",177,2006-06-25,12.09,12.5547,14.0455
"196",178,2006-06-26,14.1,12.5969,14.0863
"197",179,2006-06-27,13.01,12.6438,14.127
"198",180,2006-06-28,12.72,12.6962,14.1683
"199",181,2006-06-29,12.5,12.7544,14.2097
"200",182,2006-06-30,12.36,12.8173,14.2515
"201",183,2006-07-01,13.34,12.8822,14.2899
"202",184,2006-07-02,13.67,12.9492,14.3291
"203",185,2006-07-03,12.49,13.0193,14.3719
"204",186,2006-07-04,12.64,13.091,14.417
"205",187,2006-07-05,13.48,13.164,14.4627
"206",188,2006-07-06,12.42,13.2358,14.5117
"207",189,2006-07-07,13.67,13.3061,14.5583
"208",190,2006-07-08,12.46,13.3724,14.6052
"209",191,2006-07-09,13.1,13.4325,14.6488
"210",192,2006-07-10,12.66,13.4878,14.691
"211",193,2006-07-11,13.11,13.5396,14.7313
"212",194,2006-07-12,13.56,13.5889,14.7685
"213",195,2006-07-13,13.64,13.636,14.8059
"214",196,2006-07-14,12.9,13.6802,14.8405
"215",197,2006-07-15,11.88,13.7231,14.8741
"216",198,2006-07-16,12.31,13.7637,14.906
"217",199,2006-07-17,12.5,13.8044,14.9406
"218",200,2006-07-18,12.69,13.8446,14.9793
"219",201,2006-07-19,13.36,13.8858,15.0177
"220",202,2006-07-20,15.69,13.9286,15.057
"221",203,2006-07-21,14.44,13.9704,15.0983
"222",204,2006-07-22,12.77,14.0097,15.1364
"223",205,2006-07-23,13.44,14.0471,15.1728
"224",206,2006-07-24,15.77,14.0823,15.2079
"225",207,2006-07-25,13.71,14.1159,15.2395
"226",208,2006-07-26,13.51,14.1482,15.2697
"227",209,2006-07-27,13.47,14.18,15.3027
"228",210,2006-07-28,13.02,14.2093,15.3359
"229",211,2006-07-29,13.55,14.2355,15.3648
"230",212,2006-07-30,14.14,14.257,15.3897
"231",213,2006-07-31,13.99,14.275,15.4115
"232",214,2006-08-01,15.07,14.2912,15.4343
"233",215,2006-08-02,14.76,14.3067,15.4522
"234",216,2006-08-03,14.18,14.3208,15.4719
"235",217,2006-08-04,14.29,14.3324,15.4825
"236",218,2006-08-05,13.62,14.3416,15.4932
"237",219,2006-08-06,13.35,14.3487,15.4999
"238",220,2006-08-07,14.12,14.3524,15.5028
"239",221,2006-08-08,13.22,14.3529,15.4998
"240",222,2006-08-09,13.48,14.3552,15.4989
"241",223,2006-08-10,14.37,14.3594,15.4989
"242",224,2006-08-11,13.4,14.3633,15.4995
"243",225,2006-08-12,13.76,14.3655,15.5007
"244",226,2006-08-13,13.75,14.3662,15.5028
"245",227,2006-08-14,13.88,14.3651,15.5072
"246",228,2006-08-15,13.82,14.3626,15.5125
"247",229,2006-08-16,14.24,14.3563,15.5189
"248",230,2006-08-17,14.24,14.3453,15.5192
"249",231,2006-08-18,13.75,14.3293,15.5128
"250",232,2006-08-19,13.46,14.3097,15.5037
"251",233,2006-08-20,12.88,14.2844,15.4878
"252",234,2006-08-21,12.62,14.2547,15.4553
"253",235,2006-08-22,12.94,14.2235,15.4181
"254",236,2006-08-23,13.08,14.1915,15.3764
"255",237,2006-08-24,13.54,14.1585,15.3321
"256",238,2006-08-25,13.13,14.1242,15.289
"257",239,2006-08-26,13.13,14.0888,15.2457
"258",240,2006-08-27,13.69,14.0537,15.2009
"259",241,2006-08-28,13.54,14.0198,15.1573
"260",242,2006-08-29,14.74,13.988,15.1176
"261",243,2006-08-30,14.28,13.9582,15.0852
"262",244,2006-08-31,12.79,13.9293,15.0555
"263",245,2006-09-01,12.56,13.9005,15.0281
"264",246,2006-09-02,14.32,13.8707,15.0046
"265",247,2006-09-03,13.03,13.8402,14.9795
"266",248,2006-09-04,13.41,13.8088,14.955
"267",249,2006-09-05,12.83,13.7766,14.9289
"268",250,2006-09-06,13.11,13.7441,14.9019
"269",251,2006-09-07,12.7,13.7117,14.8758
"270",252,2006-09-08,13.01,13.6793,14.8503
"271",253,2006-09-09,13.03,13.6448,14.8232
"272",254,2006-09-10,12.52,13.6083,14.7957
"273",255,2006-09-11,12.62,13.5716,14.7675
"274",256,2006-09-12,12.61,13.5356,14.7378
"275",257,2006-09-13,12.39,13.4995,14.7058
"276",258,2006-09-14,12.73,13.4632,14.6723
"277",259,2006-09-15,12.54,13.4266,14.6385
"278",260,2006-09-16,11.49,13.3913,14.6021
"279",261,2006-09-17,11.42,13.3578,14.5659
"280",262,2006-09-18,11.45,13.3258,14.5292
"281",263,2006-09-19,10.64,13.2948,14.4922
"282",264,2006-09-20,10.3,13.2654,14.4532
"283",265,2006-09-21,10.46,13.2372,14.4259
"284",266,2006-09-22,10.14,13.2071,14.4017
"285",267,2006-09-23,9.97,13.1754,14.3774
"286",268,2006-09-24,9.95,13.1438,14.3537
"287",269,2006-09-25,10.62,13.1117,14.3303
"288",270,2006-09-26,10.61,13.079,14.3061
"289",271,2006-09-27,11.22,13.0444,14.2813
"290",272,2006-09-28,11.37,13.008,14.2555
"291",273,2006-09-29,11.2,12.9705,14.2293
"292",274,2006-09-30,11.2,12.9331,14.2003
"293",275,2006-10-01,11.28,12.896,14.1711
"294",276,2006-10-02,11.04,12.8591,14.139
"295",277,2006-10-03,11.25,12.8229,14.1079
"296",278,2006-10-04,11.35,12.7871,14.078
"297",279,2006-10-05,10.98,12.7501,14.0453
"298",280,2006-10-06,11.28,12.7126,14.0095
"299",281,2006-10-07,11.67,12.6745,13.9776
"300",282,2006-10-08,11.43,12.6343,13.9467
"301",283,2006-10-09,11.64,12.5926,13.9134
"302",284,2006-10-10,11.29,12.5491,13.8789
"303",285,2006-10-11,11.68,12.5029,13.8432
"304",286,2006-10-12,11.65,12.4548,13.8075
"305",287,2006-10-13,11.75,12.4052,13.7763
"306",288,2006-10-14,11.77,12.3554,13.7459
"307",289,2006-10-15,11.34,12.3053,13.7163
"308",290,2006-10-16,11.57,12.2569,13.6884
"309",291,2006-10-17,11.56,12.2102,13.6637
"310",292,2006-10-18,11.46,12.1658,13.6429
"311",293,2006-10-19,11.42,12.1253,13.6248
"312",294,2006-10-20,11.39,12.0875,13.6108
"313",295,2006-10-21,11.18,12.0524,13.6075
"314",296,2006-10-22,11.16,12.02,13.606
"315",297,2006-10-23,11.18,11.9909,13.6013
"316",298,2006-10-24,11.31,11.9647,13.599
"317",299,2006-10-25,10.61,11.9406,13.5992
"318",300,2006-10-26,10.58,11.918,13.5993
"319",301,2006-10-27,10.61,11.8964,13.5971
"320",302,2006-10-28,11.03,11.8752,13.5798
"321",303,2006-10-29,10.92,11.8539,13.5561
"322",304,2006-10-30,10.54,11.8319,13.5321
"323",305,2006-10-31,10.1,11.8093,13.5072
"324",306,2006-11-01,10.39,11.7865,13.4814
"325",307,2006-11-02,10.66,11.7639,13.4567
"326",308,2006-11-03,11.32,11.741,13.431
"327",309,2006-11-04,11.53,11.7175,13.404
"328",310,2006-11-05,11.7,11.6947,13.3783
"329",311,2006-11-06,12.05,11.6726,13.3556
"330",312,2006-11-07,12.21,11.6506,13.3299
"331",313,2006-11-08,12.22,11.6299,13.3045
"332",314,2006-11-09,12.39,11.6101,13.2846
"333",315,2006-11-10,11.97,11.5909,13.2648
"334",316,2006-11-11,12.03,11.5727,13.2532
"335",317,2006-11-12,11.91,11.5542,13.2428
"336",318,2006-11-13,11.73,11.5356,13.2283
"337",319,2006-11-14,11.81,11.5168,13.215
"338",320,2006-11-15,11.52,11.4984,13.2013
"339",321,2006-11-16,11.97,11.4791,13.1839
"340",322,2006-11-17,11.68,11.4586,13.1627
"341",323,2006-11-18,11.76,11.4367,13.1399
"342",324,2006-11-19,11.83,11.413,13.117
"343",325,2006-11-20,12.1,11.3886,13.0929
"344",326,2006-11-21,12.06,11.3646,13.0635
"345",327,2006-11-22,12.12,11.3407,13.0299
"346",328,2006-11-23,12.01,11.3165,12.9988
"347",329,2006-11-24,12.04,11.2916,12.9666
"348",330,2006-11-25,11.92,11.2653,12.9306
"349",331,2006-11-26,11.64,11.2372,12.8929
"350",332,2006-11-27,11.85,11.2079,12.8561
"351",333,2006-11-28,11.66,11.1783,12.8332
"352",334,2006-11-29,10.95,11.1487,12.8163
"353",335,2006-11-30,10.87,11.1188,12.7996
"354",336,2006-12-01,10.68,11.0884,12.7829
"355",337,2006-12-02,11.08,11.0569,12.765
"356",338,2006-12-03,10.68,11.0241,12.7466
"357",339,2006-12-04,10.74,10.9907,12.727
"358",340,2006-12-05,11.02,10.9572,12.7073
"359",341,2006-12-06,11,10.9239,12.6891
"360",342,2006-12-07,10.75,10.8915,12.6709
"361",343,2006-12-08,11.36,10.86,12.6537
"362",344,2006-12-09,11.36,10.8291,12.6361
"363",345,2006-12-10,11.52,10.7989,12.6157
"364",346,2006-12-11,11.51,10.7699,12.5959
"365",347,2006-12-12,11.51,10.7411,12.5673
"366",348,2006-12-13,11.32,10.7131,12.5328
"367",349,2006-12-14,11.81,10.6861,12.4906
"368",350,2006-12-15,11.49,10.6599,12.4366
"369",351,2006-12-16,10.77,10.6348,12.3805
"370",352,2006-12-17,10.91,10.6115,12.3263
"371",353,2006-12-18,10.4,10.5899,12.2751
"372",354,2006-12-19,9.68,10.5702,12.2279
"373",355,2006-12-20,9.37,10.5518,12.1826
"374",356,2006-12-21,9.68,10.5343,12.1375
"375",357,2006-12-22,10.21,10.5176,12.0963
"376",358,2006-12-23,9.91,10.5021,12.067
"377",359,2006-12-24,10.28,10.488,12.0421
"378",360,2006-12-25,10.24,10.4754,12.0204
"379",361,2006-12-26,10.32,10.4642,12.0017
"380",362,2006-12-27,10.38,10.4547,11.9832
"381",363,2006-12-28,9.16,10.4461,11.9664
"382",364,2006-12-29,9.31,10.4383,11.9497
"383",365,2006-12-30,9.9,10.4312,11.9325
"384",366,2006-12-31,10.13,10.4246,11.9154
"385",1,2007-01-01,10,10.4183,11.8983
"386",2,2007-01-02,10.07,10.4124,11.8823
"387",3,2007-01-03,10.04,10.4072,11.8665
"388",4,2007-01-04,10.01,10.4023,11.8512
"389",5,2007-01-05,9.74,10.3975,11.8334
"390",6,2007-01-06,9.8,10.3932,11.8143
"391",7,2007-01-07,9.99,10.3883,11.7984
"392",8,2007-01-08,10.09,10.383,11.7817
"393",9,2007-01-09,9.95,10.3769,11.7648
"394",10,2007-01-10,9.56,10.3701,11.7479
"395",11,2007-01-11,9.49,10.3625,11.7284
"396",12,2007-01-12,8.53,10.3553,11.6986
"397",13,2007-01-13,8.34,10.3483,11.6692
"398",14,2007-01-14,8.07,10.3417,11.6488
"399",15,2007-01-15,7.85,10.3352,11.6378
"400",16,2007-01-16,7.92,10.3285,11.6292
"401",17,2007-01-17,8.55,10.3216,11.6239
"402",18,2007-01-18,8.62,10.3148,11.6191
"403",19,2007-01-19,8.44,10.3084,11.6145
"404",20,2007-01-20,8.7,10.3025,11.6083
"405",21,2007-01-21,8.29,10.2971,11.6028
"406",22,2007-01-22,8.17,10.292,11.5962
"407",23,2007-01-23,8.16,10.2868,11.5832
"408",24,2007-01-24,7.72,10.2817,11.5686
"409",25,2007-01-25,8.21,10.2764,11.5571
"410",26,2007-01-26,8.21,10.271,11.549
"411",27,2007-01-27,8,10.266,11.5446
"412",28,2007-01-28,8.21,10.2612,11.5417
"413",29,2007-01-29,8.16,10.2558,11.5403
"414",30,2007-01-30,8.04,10.2495,11.5406
"415",31,2007-01-31,7.96,10.2427,11.54
"416",32,2007-02-01,8.58,10.2357,11.5394
"417",33,2007-02-02,8.63,10.2286,11.538
"418",34,2007-02-03,8.66,10.2214,11.5351
"419",35,2007-02-04,9,10.2134,11.5326
"420",36,2007-02-05,9.1,10.205,11.5315
"421",37,2007-02-06,9.28,10.1955,11.5291
"422",38,2007-02-07,9.43,10.185,11.5216
"423",39,2007-02-08,9.23,10.1744,11.5126
"424",40,2007-02-09,9.48,10.164,11.5039
"425",41,2007-02-10,9.77,10.1541,11.4952
"426",42,2007-02-11,9.95,10.1446,11.4868
"427",43,2007-02-12,9.79,10.1353,11.4905
"428",44,2007-02-13,9.69,10.1259,11.499
"429",45,2007-02-14,9.52,10.1168,11.5082
"430",46,2007-02-15,9.87,10.1079,11.5194
"431",47,2007-02-16,10.01,10.0993,11.5299
"432",48,2007-02-17,10.07,10.0912,11.5374
"433",49,2007-02-18,9.95,10.0835,11.5448
"434",50,2007-02-19,9.6,10.0757,11.5497
"435",51,2007-02-20,9.46,10.0676,11.5543
"436",52,2007-02-21,9.51,10.0598,11.5583
"437",53,2007-02-22,9.37,10.0521,11.5623
"438",54,2007-02-23,9.17,10.0452,11.5657
"439",55,2007-02-24,9.3,10.0388,11.5683
"440",56,2007-02-25,9.01,10.0329,11.567
"441",57,2007-02-26,9.03,10.0277,11.5638
"442",58,2007-02-27,8.8,10.0231,11.5582
"443",59,2007-02-28,8.85,10.0192,11.5523
"444",61,2007-03-01,8.7,10.0154,11.5421
"445",62,2007-03-02,8.5,10.0158,11.5405
"446",63,2007-03-03,8.77,10.0165,11.5392
"447",64,2007-03-04,9.33,10.0179,11.5393
"448",65,2007-03-05,9.58,10.0197,11.5418
"449",66,2007-03-06,9.69,10.0228,11.5447
"450",67,2007-03-07,9.68,10.027,11.5528
"451",68,2007-03-08,9.64,10.0326,11.562
"452",69,2007-03-09,9.82,10.0396,11.5719
"453",70,2007-03-10,9.73,10.0472,11.5828
"454",71,2007-03-11,9.79,10.0551,11.5903
"455",72,2007-03-12,10.11,10.063,11.5955
"456",73,2007-03-13,9.99,10.0709,11.6003
"457",74,2007-03-14,9.48,10.0794,11.6039
"458",75,2007-03-15,9.23,10.088,11.6062
"459",76,2007-03-16,9.31,10.0962,11.6033
"460",77,2007-03-17,9.76,10.1033,11.5987
"461",78,2007-03-18,9.85,10.1105,11.5935
"462",79,2007-03-19,10.31,10.117,11.5845
"463",80,2007-03-20,9.83,10.1229,11.5717
"464",81,2007-03-21,9.6,10.1287,11.5569
"465",82,2007-03-22,9.42,10.1349,11.5421
"466",83,2007-03-23,8.94,10.141,11.5247
"467",84,2007-03-24,9.07,10.1466,11.5081
"468",85,2007-03-25,9.93,10.1516,11.4959
"469",86,2007-03-26,9.05,10.1555,11.4839
"470",87,2007-03-27,8.66,10.1589,11.4727
"471",88,2007-03-28,7.36,10.1624,11.4623
"472",89,2007-03-29,7.58,10.1657,11.4537
"473",90,2007-03-30,8.08,10.1693,11.4464
"474",91,2007-03-31,8.65,10.1732,11.4423
"475",92,2007-04-01,8.52,10.1769,11.4381
"476",93,2007-04-02,8.26,10.1797,11.4319
"477",94,2007-04-03,8.47,10.1833,11.4283
"478",95,2007-04-04,9.09,10.1874,11.4253
"479",96,2007-04-05,9.28,10.1923,11.4233
"480",97,2007-04-06,9.1,10.1984,11.4223
"481",98,2007-04-07,9.39,10.2059,11.4205
"482",99,2007-04-08,8.6,10.2143,11.4174
"483",100,2007-04-09,9.98,10.2229,11.415
"484",101,2007-04-10,9.49,10.2313,11.4125
"485",102,2007-04-11,9.48,10.2397,11.4134
"486",103,2007-04-12,9.19,10.2482,11.4167
"487",104,2007-04-13,8.97,10.2575,11.4224
"488",105,2007-04-14,9.92,10.2663,11.4285
"489",106,2007-04-15,9.29,10.277,11.4352
"490",107,2007-04-16,8.71,10.2881,11.4461
"491",108,2007-04-17,8.85,10.2987,11.4574
"492",109,2007-04-18,8.44,10.3076,11.4655
"493",110,2007-04-19,8.98,10.3153,11.4772
"494",111,2007-04-20,9.12,10.3221,11.4939
"495",112,2007-04-21,8.58,10.3291,11.513
"496",113,2007-04-22,8.56,10.3347,11.5308
"497",114,2007-04-23,9.15,10.3404,11.552
"498",115,2007-04-24,8.86,10.3466,11.5725
"499",116,2007-04-25,NA,10.354,11.5887
"500",117,2007-04-26,9.17,10.361,11.604
"501",118,2007-04-27,9.44,10.3692,11.619
"502",119,2007-04-28,9.49,10.3798,11.6385
"503",120,2007-04-29,9.87,10.3934,11.6639
"504",121,2007-04-30,9.82,10.4088,11.689
"505",122,2007-05-01,9.76,10.4248,11.7112
"506",123,2007-05-02,9.7,10.4404,11.731
"507",124,2007-05-03,9.63,10.4586,11.7523
"508",125,2007-05-04,9.66,10.4778,11.7785
"509",126,2007-05-05,9.51,10.4975,11.7974
"510",127,2007-05-06,9.27,10.5179,11.8143
"511",128,2007-05-07,8.89,10.5386,11.8302
"512",129,2007-05-08,9.91,10.5591,11.8439
"513",130,2007-05-09,9.67,10.5799,11.8632
"514",131,2007-05-10,NA,10.6011,11.8835
"515",132,2007-05-11,10.99,10.6251,11.9065
"516",133,2007-05-12,10.67,10.6531,11.9325
"517",134,2007-05-13,10.28,10.6845,11.9599
"518",135,2007-05-14,9.51,10.7169,11.9864
"519",136,2007-05-15,11.59,10.7523,12.0134
"520",137,2007-05-16,8.93,10.7892,12.0426
"521",138,2007-05-17,9.72,10.8297,12.0765
"522",139,2007-05-18,10.34,10.8748,12.1142
"523",140,2007-05-19,10.62,10.9253,12.1608
"524",141,2007-05-20,8.71,10.9792,12.2103
"525",142,2007-05-21,9.39,11.0365,12.2652
"526",143,2007-05-22,7.75,11.0948,12.3214
"527",144,2007-05-23,NA,11.154,12.3788
"528",145,2007-05-24,9.23,11.2138,12.4361
"529",146,2007-05-25,9.33,11.273,12.4939
"530",147,2007-05-26,9.48,11.3292,12.5503
"531",148,2007-05-27,9.33,11.3833,12.6077
"532",149,2007-05-28,8.76,11.4324,12.665
"533",150,2007-05-29,8.38,11.4756,12.717
"534",151,2007-05-30,10.96,11.5123,12.7621
"535",152,2007-05-31,10.31,11.5458,12.8078
"536",153,2007-06-01,11.17,11.5763,12.8525
"537",154,2007-06-02,11.21,11.6052,12.8943
"538",155,2007-06-03,11.88,11.6327,12.9426
"539",156,2007-06-04,11.29,11.6593,12.984
"540",157,2007-06-05,10.63,11.6879,13.032
"541",158,2007-06-06,10.37,11.7199,13.0849
